id,created_at,lang,text,retweet_count,reply_count,like_count,quote_count,sentiment,gender
2000061,2021-10-09 08:39:00,en,Practicing some math exercises,441,92,959,37,neutral,female
2000062,2023-03-28 06:03:00,en,"Failed my math test again, so frustrated",16,3,321,38,negative,other
2000063,2024-11-26 08:33:00,en,I can't handle these equations anymore,127,29,395,17,negative,male
2000064,2022-01-23 13:16:00,en,Practicing some math exercises,42,84,664,38,neutral,other
2000065,2022-04-03 03:33:00,en,Math anxiety is ruining my grades,399,93,568,34,negative,other
2000066,2024-04-05 05:07:00,en,"Failed my math test again, so frustrated",449,23,988,20,negative,male
2000067,2024-12-24 02:29:00,en,Completely lost in statistics class,96,42,328,45,negative,female
2000068,2021-09-02 02:01:00,en,"Failed my math test again, so frustrated",224,13,247,4,negative,other
2000069,2024-03-18 14:35:00,en,Why is trigonometry so hard?,267,28,837,9,negative,male
2000070,2021-11-28 02:38:00,en,Completely lost in statistics class,417,57,328,11,negative,female
2000071,2024-09-18 10:58:00,en,Solved 5 problems in my math workbook,54,41,457,17,neutral,male
2000072,2021-05-19 23:51:00,en,Reviewing geometry notes,467,72,195,25,neutral,other
2000073,2021-05-30 14:40:00,en,Why is trigonometry so hard?,371,43,497,48,negative,female
2000074,2022-11-18 23:11:00,en,"Failed my math test again, so frustrated",141,44,589,44,negative,other
2000075,2023-03-31 11:40:00,en,This math homework is giving me a headache,213,86,646,5,negative,other
2000076,2023-03-25 14:12:00,en,Scored 100% on my algebra test!,19,22,631,25,positive,female
2000077,2021-07-13 18:05:00,en,Attending a calculus lecture this afternoon,13,21,635,20,neutral,female
2000078,2024-05-16 05:52:00,en,My brain freezes when I see math problems,280,28,440,11,negative,female
2000079,2021-10-04 17:32:00,en,"Failed my math test again, so frustrated",174,90,301,23,negative,other
2000080,2023-05-30 05:03:00,en,"Failed my math test again, so frustrated",484,15,12,48,negative,female
2000081,2021-05-05 03:15:00,en,This math homework is giving me a headache,493,55,917,24,negative,other
2000082,2022-12-24 20:03:00,en,Math anxiety is ruining my grades,390,61,15,5,negative,female
2000083,2024-07-07 03:54:00,en,Feeling confident for my math exam,450,7,988,43,positive,other
2000084,2024-10-10 11:07:00,en,Proud of my progress in math class,79,38,163,27,positive,male
2000085,2021-02-27 16:13:00,en,"Failed my math test again, so frustrated",176,26,250,46,negative,male
2000086,2023-04-17 17:29:00,en,Going over my statistics assignment,154,66,650,6,neutral,other
2000087,2023-01-31 09:28:00,en,Math anxiety is ruining my grades,44,15,807,45,negative,male
2000088,2024-10-04 14:42:00,en,Attending a calculus lecture this afternoon,120,78,353,13,neutral,other
2000089,2021-10-13 17:37:00,en,Going over my statistics assignment,14,85,427,20,neutral,female
2000090,2024-12-28 17:22:00,en,Studying math for tomorrow's class,193,85,176,21,neutral,male
2000091,2022-12-22 22:32:00,en,Proud of my progress in math class,244,87,710,22,positive,other
2000092,2022-09-07 01:52:00,en,Math is challenging but I love it,113,42,5,8,positive,female
2000093,2023-05-22 08:12:00,en,Enjoying solving complex equations,424,2,917,42,positive,female
2000094,2021-08-20 04:59:00,en,Solved 5 problems in my math workbook,363,27,63,22,neutral,female
2000095,2022-01-24 13:39:00,en,Math club meets today,314,40,188,31,neutral,male
2000096,2021-09-28 17:46:00,en,Solved 5 problems in my math workbook,51,4,78,18,neutral,other
2000097,2021-09-23 20:30:00,en,"Failed my math test again, so frustrated",427,26,111,15,negative,male
2000098,2023-03-25 13:10:00,en,Scored 100% on my algebra test!,102,27,641,34,positive,other
2000099,2021-05-13 01:48:00,en,Solved 5 problems in my math workbook,461,83,610,27,neutral,female
2000100,2021-05-25 04:17:00,en,My brain freezes when I see math problems,258,96,53,26,negative,male
2000101,2024-08-03 01:07:00,en,Math class is scheduled at 2pm,470,62,260,27,neutral,other
2000102,2022-06-04 10:00:00,en,Why is trigonometry so hard?,30,32,641,40,negative,male
2000103,2022-11-05 16:56:00,en,Finally understood calculus and feeling great!,166,15,564,2,positive,female
2000104,2022-09-18 15:09:00,en,Completely lost in statistics class,362,23,665,45,negative,female
2000105,2022-07-21 00:47:00,en,Reviewing geometry notes,72,46,563,23,neutral,female
2000106,2024-04-09 03:19:00,en,This math homework is giving me a headache,56,33,68,38,negative,male
2000107,2024-11-28 15:35:00,en,Why is trigonometry so hard?,26,86,367,50,negative,male
2000108,2021-05-14 11:28:00,en,Working on some algebra problems,133,27,330,8,neutral,other
2000109,2023-04-24 06:46:00,en,I can't handle these equations anymore,425,80,325,25,negative,female
2000110,2023-12-31 19:28:00,en,Reviewing geometry notes,329,62,68,47,neutral,female
2000111,2024-07-20 06:09:00,en,Working on some algebra problems,285,84,1,30,neutral,other
2000112,2021-10-04 01:13:00,en,Going over my statistics assignment,413,46,4,21,neutral,female
2000113,2022-05-29 18:30:00,en,Completely lost in statistics class,418,58,951,41,negative,female
2000114,2024-05-09 19:16:00,en,Math anxiety is ruining my grades,376,92,401,6,negative,other
2000115,2024-07-26 01:02:00,en,Statistics can actually be fun,465,81,87,42,positive,male
2000116,2023-10-11 06:13:00,en,Solved 5 problems in my math workbook,280,62,186,34,neutral,male
2000117,2021-07-01 19:58:00,en,I can't handle these equations anymore,275,64,716,11,negative,female
2000118,2023-11-28 09:32:00,en,I hate calculus so much,490,73,669,49,negative,male
2000119,2022-06-15 14:29:00,en,Math club meets today,260,53,911,10,neutral,female
2000120,2023-07-19 20:21:00,en,Completely lost in statistics class,187,15,420,20,negative,other
2000121,2023-10-18 19:20:00,en,Enjoying solving complex equations,315,47,384,4,positive,male
2000122,2024-03-18 12:54:00,en,Studying math for tomorrow's class,112,50,483,1,neutral,other
2000123,2023-10-17 22:24:00,en,I can't handle these equations anymore,415,69,826,7,negative,male
2000124,2024-11-29 02:51:00,en,Math anxiety is ruining my grades,75,82,860,31,negative,male
2000125,2024-12-05 01:32:00,en,I hate calculus so much,146,29,0,49,negative,male
2000126,2023-08-31 05:43:00,en,"Failed my math test again, so frustrated",292,10,311,3,negative,other
2000127,2021-01-29 16:16:00,en,"Failed my math test again, so frustrated",68,59,908,43,negative,other
2000128,2024-10-31 13:48:00,en,Practicing some math exercises,13,13,981,6,neutral,male
2000129,2024-10-15 06:36:00,en,Finally understood calculus and feeling great!,394,35,714,42,positive,female
2000130,2021-10-09 10:33:00,en,My brain freezes when I see math problems,273,57,667,23,negative,male
2000131,2021-07-22 02:35:00,en,Completely lost in statistics class,471,16,505,32,negative,male
2000132,2022-04-19 04:52:00,en,Going over my statistics assignment,167,80,5,46,neutral,female
2000133,2022-07-14 09:50:00,en,Learning about derivatives and integrals,289,49,219,19,neutral,other
2000134,2022-03-03 03:24:00,en,Studying math for tomorrow's class,493,59,0,48,neutral,male
2000135,2022-01-30 13:14:00,en,Practicing some math exercises,315,61,562,10,neutral,female
2000136,2023-03-14 03:02:00,en,Statistics can actually be fun,432,47,382,35,positive,female
2000137,2022-01-08 21:53:00,en,Why is trigonometry so hard?,367,2,340,37,negative,other
2000138,2024-09-17 08:52:00,en,Finally understood calculus and feeling great!,173,85,782,44,positive,other
2000139,2022-04-06 06:44:00,en,Why is trigonometry so hard?,433,4,823,23,negative,female
2000140,2023-01-03 15:06:00,en,Math anxiety is ruining my grades,293,49,158,17,negative,male
2000141,2024-11-05 12:09:00,en,Math puzzles are the best brain exercise,230,67,543,48,positive,other
2000142,2022-12-11 11:09:00,en,Studying math for tomorrow's class,425,22,922,24,neutral,other
2000143,2024-10-24 04:28:00,en,I hate calculus so much,500,91,102,22,negative,female
2000144,2022-05-10 17:49:00,en,Had a great study session with friends for math,244,90,821,23,positive,female
2000145,2021-03-24 13:54:00,en,I can't handle these equations anymore,397,7,620,35,negative,male
2000146,2022-08-16 07:56:00,en,Reviewing geometry notes,283,38,18,36,neutral,male
2000147,2024-10-25 00:20:00,en,Working on some algebra problems,281,57,385,9,neutral,female
2000148,2023-01-28 16:38:00,en,Math anxiety is ruining my grades,9,79,619,40,negative,other
2000149,2022-09-15 22:28:00,en,Completely lost in statistics class,198,19,890,24,negative,female
2000150,2021-01-07 19:45:00,en,Working on some algebra problems,223,15,481,29,neutral,other
2000151,2021-07-28 07:09:00,en,Math anxiety is ruining my grades,495,64,132,17,negative,other
2000152,2023-04-02 15:55:00,en,Feeling stressed before my algebra exam,462,81,891,32,negative,female
2000153,2021-06-18 11:39:00,en,Enjoying solving complex equations,257,36,359,33,positive,female
2000154,2024-12-25 02:31:00,en,Why is trigonometry so hard?,126,7,420,26,negative,other
2000155,2024-10-07 14:51:00,en,"Failed my math test again, so frustrated",233,23,791,8,negative,other
2000156,2022-01-06 03:42:00,en,Solved 5 problems in my math workbook,324,89,568,49,neutral,male
2000157,2021-05-02 14:24:00,en,Completely lost in statistics class,34,52,404,11,negative,female
2000158,2022-10-27 19:26:00,en,"Failed my math test again, so frustrated",344,100,323,15,negative,male
2000159,2024-01-10 06:09:00,en,Panic sets in every time I open my math textbook,299,83,923,32,negative,female
2000160,2022-05-22 02:10:00,en,Scored 100% on my algebra test!,328,11,241,17,positive,female
2000161,2023-05-05 04:30:00,en,Panic sets in every time I open my math textbook,160,47,226,20,negative,male
2000162,2024-07-13 17:40:00,en,Working on some algebra problems,80,19,941,41,neutral,other
2000163,2022-08-21 16:19:00,en,Feeling confident for my math exam,96,96,854,45,positive,female
2000164,2023-10-28 23:21:00,en,Math anxiety is ruining my grades,407,49,373,42,negative,other
2000165,2024-05-19 22:29:00,en,Learning about derivatives and integrals,243,84,743,13,neutral,male
2000166,2024-04-18 22:11:00,en,This math homework is giving me a headache,95,82,249,6,negative,other
2000167,2021-01-16 10:41:00,en,Had a great study session with friends for math,330,25,100,12,positive,other
2000168,2022-12-01 19:19:00,en,My brain freezes when I see math problems,113,54,58,4,negative,other
2000169,2024-08-03 13:52:00,en,Math anxiety is ruining my grades,114,66,174,46,negative,male
2000170,2023-07-21 17:46:00,en,Feeling stressed before my algebra exam,378,17,200,9,negative,other
2000171,2023-03-08 01:47:00,en,I can't handle these equations anymore,490,59,140,3,negative,male
2000172,2023-06-23 05:07:00,en,Completely lost in statistics class,396,82,679,4,negative,other
2000173,2023-10-03 12:57:00,en,I hate calculus so much,397,95,724,13,negative,other
2000174,2021-02-16 15:32:00,en,Math anxiety is ruining my grades,23,15,386,20,negative,female
2000175,2023-02-23 09:34:00,en,Practicing some math exercises,496,9,978,10,neutral,female
2000176,2024-03-04 23:46:00,en,Studying math for tomorrow's class,237,22,739,9,neutral,female
2000177,2023-06-09 09:26:00,en,Learning about derivatives and integrals,465,37,430,39,neutral,male
2000178,2023-10-02 07:04:00,en,I can't handle these equations anymore,67,25,762,31,negative,male
2000179,2024-10-03 20:53:00,en,Panic sets in every time I open my math textbook,95,72,483,49,negative,other
2000180,2023-06-01 13:33:00,en,Working on some algebra problems,231,90,656,11,neutral,other
2000181,2023-08-01 15:14:00,en,Proud of my progress in math class,476,14,172,26,positive,female
2000182,2024-09-15 09:40:00,en,Panic sets in every time I open my math textbook,87,26,450,19,negative,female
2000183,2023-08-05 07:31:00,en,Practicing some math exercises,217,99,303,29,neutral,other
2000184,2022-11-17 20:15:00,en,I can't handle these equations anymore,86,59,75,2,negative,other
2000185,2023-07-03 15:00:00,en,Why is trigonometry so hard?,285,46,734,20,negative,female
2000186,2024-03-01 08:43:00,en,Panic sets in every time I open my math textbook,207,88,913,1,negative,female
2000187,2023-04-24 21:23:00,en,Enjoying solving complex equations,292,85,431,46,positive,other
2000188,2021-12-28 11:19:00,en,"Failed my math test again, so frustrated",20,58,6,24,negative,other
2000189,2021-02-08 06:11:00,en,Feeling stressed before my algebra exam,249,92,603,13,negative,male
2000190,2024-09-13 21:13:00,en,Why is trigonometry so hard?,304,80,778,6,negative,female
2000191,2021-03-09 13:43:00,en,Finally understood calculus and feeling great!,147,50,708,10,positive,other
2000192,2024-07-04 18:13:00,en,Panic sets in every time I open my math textbook,457,90,796,31,negative,other
2000193,2024-10-04 20:27:00,en,My brain freezes when I see math problems,382,43,413,5,negative,female
2000194,2021-05-16 01:07:00,en,Completely lost in statistics class,471,6,381,13,negative,other
2000195,2021-01-10 01:36:00,en,Attending a calculus lecture this afternoon,31,36,155,48,neutral,female
2000196,2023-03-28 15:01:00,en,Feeling stressed before my algebra exam,58,86,808,2,negative,female
2000197,2024-10-31 19:33:00,en,"Failed my math test again, so frustrated",106,70,598,34,negative,female
2000198,2024-04-29 13:02:00,en,Math puzzles are the best brain exercise,218,9,153,12,positive,female
2000199,2023-07-20 11:42:00,en,I can't handle these equations anymore,319,91,304,21,negative,female
2000200,2022-08-26 16:06:00,en,Math class is scheduled at 2pm,22,98,434,24,neutral,female
2000201,2022-06-30 00:34:00,en,Math is challenging but I love it,73,10,924,44,positive,male
2000202,2022-10-09 17:18:00,en,I can't handle these equations anymore,402,13,82,13,negative,female
2000203,2022-10-20 18:00:00,en,Had a great study session with friends for math,129,32,490,11,positive,other
2000204,2022-10-15 11:15:00,en,My brain freezes when I see math problems,368,31,801,5,negative,other
2000205,2021-06-24 18:53:00,en,Proud of my progress in math class,131,8,719,14,positive,other
2000206,2024-02-21 10:46:00,en,Learning about derivatives and integrals,358,96,417,20,neutral,other
2000207,2023-06-20 23:18:00,en,Learning about derivatives and integrals,58,43,478,43,neutral,male
2000208,2022-07-17 08:45:00,en,Math puzzles are the best brain exercise,477,74,908,48,positive,female
2000209,2022-03-22 03:01:00,en,Working on some algebra problems,250,86,367,49,neutral,male
2000210,2021-05-19 11:04:00,en,Scored 100% on my algebra test!,313,98,531,9,positive,other
2000211,2024-04-15 23:54:00,en,Feeling confident for my math exam,390,45,927,30,positive,female
2000212,2022-09-18 16:35:00,en,Math club meets today,160,65,570,17,neutral,female
2000213,2021-07-04 08:34:00,en,Statistics can actually be fun,239,33,513,23,positive,female
2000214,2024-02-27 14:11:00,en,Studying math for tomorrow's class,7,67,854,11,neutral,female
2000215,2023-01-16 21:34:00,en,Proud of my progress in math class,406,7,793,32,positive,female
2000216,2023-06-07 18:05:00,en,Learning about derivatives and integrals,398,24,60,33,neutral,other
2000217,2023-03-09 15:18:00,en,I hate calculus so much,102,89,569,12,negative,male
2000218,2022-05-05 17:29:00,en,Math puzzles are the best brain exercise,179,31,792,1,positive,female
2000219,2023-10-31 03:51:00,en,Feeling stressed before my algebra exam,184,18,11,39,negative,female
2000220,2024-03-11 16:12:00,en,Enjoying solving complex equations,82,56,425,31,positive,other
2000221,2022-04-24 00:17:00,en,Math anxiety is ruining my grades,254,14,792,42,negative,other
2000222,2022-06-15 04:12:00,en,Finally understood calculus and feeling great!,339,22,159,20,positive,female
2000223,2021-08-21 05:11:00,en,Reviewing geometry notes,97,84,940,50,neutral,female
2000224,2022-09-07 02:31:00,en,Math class is scheduled at 2pm,448,22,457,29,neutral,female
2000225,2023-01-03 08:18:00,en,Feeling stressed before my algebra exam,302,83,141,10,negative,male
2000226,2021-12-30 17:02:00,en,"Failed my math test again, so frustrated",256,64,850,26,negative,other
2000227,2023-02-23 18:04:00,en,Math class is scheduled at 2pm,312,63,923,42,neutral,male
2000228,2024-04-21 20:12:00,en,Panic sets in every time I open my math textbook,349,88,323,13,negative,other
2000229,2023-12-11 04:46:00,en,Math is challenging but I love it,91,58,557,46,positive,female
2000230,2023-02-28 15:00:00,en,My brain freezes when I see math problems,401,30,381,50,negative,other
2000231,2022-01-02 04:00:00,en,Practicing some math exercises,356,2,571,47,neutral,female
2000232,2022-09-21 12:38:00,en,Panic sets in every time I open my math textbook,331,72,338,37,negative,female
2000233,2023-10-25 02:13:00,en,Math anxiety is ruining my grades,262,47,204,30,negative,other
2000234,2021-07-13 12:44:00,en,Completely lost in statistics class,210,71,73,50,negative,female
2000235,2024-10-23 16:00:00,en,Solved 5 problems in my math workbook,220,68,531,24,neutral,female
2000236,2024-03-10 10:49:00,en,Practicing some math exercises,233,74,170,10,neutral,female
2000237,2023-09-26 06:30:00,en,Why is trigonometry so hard?,204,14,619,44,negative,female
2000238,2022-01-06 16:01:00,en,Panic sets in every time I open my math textbook,286,83,233,17,negative,male
2000239,2024-08-12 16:10:00,en,Feeling stressed before my algebra exam,444,96,533,2,negative,other
2000240,2023-12-15 10:01:00,en,Enjoying solving complex equations,452,97,797,49,positive,other
2000241,2024-09-02 03:46:00,en,Learning math makes me feel accomplished,277,16,201,1,positive,female
2000242,2021-10-20 22:28:00,en,Solved 5 problems in my math workbook,354,26,821,43,neutral,other
2000243,2021-01-16 01:24:00,en,Practicing some math exercises,16,21,205,40,neutral,male
2000244,2023-03-30 22:33:00,en,Practicing some math exercises,166,59,755,9,neutral,other
2000245,2023-09-01 19:30:00,en,My brain freezes when I see math problems,424,53,818,42,negative,female
2000246,2022-11-16 13:35:00,en,Going over my statistics assignment,82,70,877,36,neutral,male
2000247,2024-07-15 23:59:00,en,I can't handle these equations anymore,370,65,20,2,negative,female
2000248,2023-05-23 16:46:00,en,Reviewing geometry notes,55,50,965,31,neutral,male
2000249,2024-07-25 03:14:00,en,Solved 5 problems in my math workbook,496,27,234,49,neutral,other
2000250,2021-04-04 03:24:00,en,Working on some algebra problems,29,30,809,9,neutral,other
2000251,2023-11-17 20:59:00,en,Working on some algebra problems,396,93,555,47,neutral,other
2000252,2022-10-02 16:01:00,en,This math homework is giving me a headache,471,27,228,23,negative,other
2000253,2021-04-04 03:47:00,en,Proud of my progress in math class,272,89,354,3,positive,female
2000254,2022-04-16 04:54:00,en,I can't handle these equations anymore,425,79,922,6,negative,female
2000255,2023-08-09 17:00:00,en,Solved 5 problems in my math workbook,8,27,76,6,neutral,other
2000256,2024-10-18 12:39:00,en,Why is trigonometry so hard?,38,54,715,4,negative,male
2000257,2022-06-24 20:20:00,en,Solved 5 problems in my math workbook,421,89,108,32,neutral,other
2000258,2021-03-28 20:34:00,en,Going over my statistics assignment,52,31,532,2,neutral,other
2000259,2023-04-14 12:47:00,en,Learning about derivatives and integrals,259,18,936,5,neutral,female
2000260,2021-02-09 16:51:00,en,This math homework is giving me a headache,498,73,198,35,negative,male
2000261,2021-10-01 12:45:00,en,Math puzzles are the best brain exercise,401,32,115,18,positive,male
2000262,2021-04-21 09:55:00,en,I can't handle these equations anymore,251,85,78,49,negative,female
2000263,2021-04-04 09:04:00,en,Math club meets today,230,75,500,37,neutral,male
2000264,2021-01-09 06:13:00,en,Finally understood calculus and feeling great!,38,63,64,37,positive,other
2000265,2023-01-16 20:22:00,en,Math anxiety is ruining my grades,487,37,19,24,negative,other
2000266,2021-12-09 07:44:00,en,I hate calculus so much,28,89,153,15,negative,other
2000267,2023-07-13 17:03:00,en,Attending a calculus lecture this afternoon,312,61,344,10,neutral,female
2000268,2021-10-10 17:08:00,en,Math puzzles are the best brain exercise,331,6,898,43,positive,other
2000269,2022-11-23 06:58:00,en,I can't handle these equations anymore,189,74,680,26,negative,male
2000270,2023-05-16 16:53:00,en,Working on some algebra problems,104,41,894,3,neutral,male
2000271,2024-07-28 12:34:00,en,Feeling stressed before my algebra exam,28,59,18,3,negative,male
2000272,2021-08-28 14:44:00,en,Going over my statistics assignment,453,100,746,50,neutral,other
2000273,2023-10-03 00:06:00,en,Attending a calculus lecture this afternoon,117,66,315,6,neutral,other
2000274,2023-10-06 17:23:00,en,Completely lost in statistics class,493,95,123,22,negative,other
2000275,2023-07-25 21:00:00,en,Proud of my progress in math class,359,35,303,46,positive,other
2000276,2023-01-12 16:31:00,en,Feeling stressed before my algebra exam,212,67,487,5,negative,male
2000277,2024-12-21 23:44:00,en,Learning math makes me feel accomplished,272,59,115,13,positive,male
2000278,2024-01-07 00:45:00,en,Attending a calculus lecture this afternoon,481,54,820,24,neutral,other
2000279,2024-06-13 19:33:00,en,I hate calculus so much,280,17,638,48,negative,male
2000280,2022-02-15 20:47:00,en,I can't handle these equations anymore,324,22,617,18,negative,other
2000281,2021-04-14 12:08:00,en,This math homework is giving me a headache,396,64,162,28,negative,male
2000282,2024-10-16 14:53:00,en,Feeling confident for my math exam,261,86,81,11,positive,other
2000283,2021-08-18 08:43:00,en,My brain freezes when I see math problems,243,62,658,10,negative,other
2000284,2022-04-21 18:30:00,en,Feeling confident for my math exam,270,3,648,37,positive,other
2000285,2021-12-31 23:01:00,en,I can't handle these equations anymore,479,82,677,9,negative,male
2000286,2021-06-13 20:58:00,en,Math is challenging but I love it,272,56,351,5,positive,male
2000287,2022-06-26 11:17:00,en,My brain freezes when I see math problems,279,9,310,36,negative,other
2000288,2024-01-10 09:00:00,en,Math puzzles are the best brain exercise,228,4,815,33,positive,other
2000289,2021-06-10 23:21:00,en,Had a great study session with friends for math,155,8,359,50,positive,male
2000290,2024-09-03 03:17:00,en,"Failed my math test again, so frustrated",81,54,575,36,negative,female
2000291,2021-04-23 02:51:00,en,Learning about derivatives and integrals,430,74,676,14,neutral,female
2000292,2023-02-21 00:05:00,en,Math anxiety is ruining my grades,484,97,364,21,negative,female
2000293,2023-03-15 10:51:00,en,Feeling stressed before my algebra exam,398,66,31,32,negative,other
2000294,2021-11-25 18:23:00,en,Math is challenging but I love it,336,59,854,7,positive,male
2000295,2021-09-01 21:59:00,en,Statistics can actually be fun,293,42,84,26,positive,other
2000296,2023-05-23 19:52:00,en,Math is challenging but I love it,306,9,272,12,positive,female
2000297,2021-10-31 04:09:00,en,Studying math for tomorrow's class,426,33,2,27,neutral,other
2000298,2022-08-05 18:00:00,en,Finally understood calculus and feeling great!,12,19,727,35,positive,other
2000299,2022-04-26 16:08:00,en,My brain freezes when I see math problems,76,27,890,38,negative,male
2000300,2023-10-27 18:17:00,en,Completely lost in statistics class,352,13,84,25,negative,other
2000301,2024-05-02 16:46:00,en,Math anxiety is ruining my grades,435,31,585,1,negative,female
2000302,2024-06-28 15:40:00,en,Reviewing geometry notes,362,86,623,16,neutral,other
2000303,2023-03-06 06:15:00,en,Why is trigonometry so hard?,40,53,443,22,negative,male
2000304,2021-02-04 18:04:00,en,Practicing some math exercises,173,13,275,48,neutral,female
2000305,2023-09-23 10:39:00,en,I hate calculus so much,375,38,157,26,negative,male
2000306,2022-10-15 02:32:00,en,Learning math makes me feel accomplished,455,70,978,5,positive,male
2000307,2024-07-05 23:22:00,en,Studying math for tomorrow's class,194,93,350,26,neutral,male
2000308,2024-12-03 10:24:00,en,Learning math makes me feel accomplished,322,25,775,29,positive,female
