id,created_at,lang,text,retweet_count,reply_count,like_count,quote_count,sentiment,gender,clean_text,tokens,lemmas,processed_text
2000010,2024/5/5 15:46,en,Attending a calculus lecture this afternoon,388,32,127,36,neutral,other,attending a calculus lecture this afternoon,"['attending', 'a', 'calculus', 'lecture', 'this', 'afternoon']","['attend', 'a', 'calculu', 'lectur', 'thi', 'afternoon']",attend a calculu lectur thi afternoon
2000011,2022/12/28 3:51,en,"Failed my math test again, so frustrated",400,85,641,50,negative,female,"failed my math test again, so frustrated","['failed', 'my', 'math', 'test', 'again', 'so', 'frustrated']","['fail', 'my', 'math', 'test', 'again', 'so', 'frustrat']",fail my math test again so frustrat
2000012,2024/5/21 15:46,en,This math homework is giving me a headache,487,77,671,4,negative,female,this math homework is giving me a headache,"['this', 'math', 'homework', 'is', 'giving', 'me', 'a', 'headache']","['thi', 'math', 'homework', 'is', 'give', 'me', 'a', 'headach']",thi math homework is give me a headach
2000013,2024/2/21 17:33,en,Feeling stressed before my algebra exam,486,88,657,0,negative,male,feeling stressed before my algebra exam,"['feeling', 'stressed', 'before', 'my', 'algebra', 'exam']","['feel', 'stress', 'befor', 'my', 'algebra', 'exam']",feel stress befor my algebra exam
2000014,2023/3/3 17:43,en,Studying math for tomorrow's class,441,25,618,21,neutral,male,studying math for tomorrow's class,"['studying', 'math', 'for', ""tomorrow's"", 'class']","['studi', 'math', 'for', ""tomorrow'"", 'class']",studi math for tomorrow' class
2000015,2021/12/16 3:50,en,"Failed my math test again, so frustrated",235,37,486,16,negative,female,"failed my math test again, so frustrated","['failed', 'my', 'math', 'test', 'again', 'so', 'frustrated']","['fail', 'my', 'math', 'test', 'again', 'so', 'frustrat']",fail my math test again so frustrat
2000016,2021/5/26 12:32,en,Scored 100% on my algebra test!,401,63,901,46,positive,other,scored 100 on my algebra test!,"['scored', '100', 'on', 'my', 'algebra', 'test']","['score', '100', 'on', 'my', 'algebra', 'test']",score 100 on my algebra test
2000017,2024/5/27 15:15,en,Why is trigonometry so hard?,49,23,826,19,negative,female,why is trigonometry so hard?,"['why', 'is', 'trigonometry', 'so', 'hard']","['whi', 'is', 'trigonometri', 'so', 'hard']",whi is trigonometri so hard
2000018,2021/9/26 21:45,en,Learning about derivatives and integrals,359,26,403,33,neutral,male,learning about derivatives and integrals,"['learning', 'about', 'derivatives', 'and', 'integrals']","['learn', 'about', 'deriv', 'and', 'integr']",learn about deriv and integr
2000019,2022/6/17 0:24,en,Math club meets today,396,35,307,35,neutral,male,math club meets today,"['math', 'club', 'meets', 'today']","['math', 'club', 'meet', 'today']",math club meet today
2000020,2021/9/14 17:16,en,Why is trigonometry so hard?,57,86,388,17,negative,female,why is trigonometry so hard?,"['why', 'is', 'trigonometry', 'so', 'hard']","['whi', 'is', 'trigonometri', 'so', 'hard']",whi is trigonometri so hard
2000021,2023/6/14 0:54,en,Math anxiety is ruining my grades,116,90,370,14,negative,other,math anxiety is ruining my grades,"['math', 'anxiety', 'is', 'ruining', 'my', 'grades']","['math', 'anxieti', 'is', 'ruin', 'my', 'grade']",math anxieti is ruin my grade
2000022,2024/6/22 5:13,en,Practicing some math exercises,379,87,761,6,neutral,male,practicing some math exercises,"['practicing', 'some', 'math', 'exercises']","['practic', 'some', 'math', 'exercis']",practic some math exercis
2000023,2024/7/20 0:33,en,Math class is scheduled at 2pm,135,79,631,9,neutral,other,math class is scheduled at 2pm,"['math', 'class', 'is', 'scheduled', 'at', '2', 'pm']","['math', 'class', 'is', 'schedul', 'at', '2', 'pm']",math class is schedul at 2 pm
2000024,2021/6/13 9:06,en,Going over my statistics assignment,238,4,473,5,neutral,female,going over my statistics assignment,"['going', 'over', 'my', 'statistics', 'assignment']","['go', 'over', 'my', 'statist', 'assign']",go over my statist assign
2000025,2021/12/22 7:06,en,Reviewing geometry notes,498,23,295,23,neutral,other,reviewing geometry notes,"['reviewing', 'geometry', 'notes']","['review', 'geometri', 'note']",review geometri note
2000026,2023/10/31 6:44,en,Enjoying solving complex equations,408,56,579,25,positive,male,enjoying solving complex equations,"['enjoying', 'solving', 'complex', 'equations']","['enjoy', 'solv', 'complex', 'equat']",enjoy solv complex equat
2000027,2023/11/30 16:21,en,Reviewing geometry notes,263,92,703,23,neutral,female,reviewing geometry notes,"['reviewing', 'geometry', 'notes']","['review', 'geometri', 'note']",review geometri note
2000028,2023/1/4 23:00,en,Feeling confident for my math exam,37,28,140,21,positive,other,feeling confident for my math exam,"['feeling', 'confident', 'for', 'my', 'math', 'exam']","['feel', 'confid', 'for', 'my', 'math', 'exam']",feel confid for my math exam
2000029,2022/2/25 5:38,en,Scored 100% on my algebra test!,277,54,32,13,positive,male,scored 100 on my algebra test!,"['scored', '100', 'on', 'my', 'algebra', 'test']","['score', '100', 'on', 'my', 'algebra', 'test']",score 100 on my algebra test
2000030,2023/3/20 14:30,en,Math class is scheduled at 2pm,217,28,405,7,neutral,other,math class is scheduled at 2pm,"['math', 'class', 'is', 'scheduled', 'at', '2', 'pm']","['math', 'class', 'is', 'schedul', 'at', '2', 'pm']",math class is schedul at 2 pm
2000031,2024/8/18 2:44,en,I hate calculus so much,421,18,714,17,negative,male,i hate calculus so much,"['i', 'hate', 'calculus', 'so', 'much']","['i', 'hate', 'calculu', 'so', 'much']",i hate calculu so much
2000032,2022/12/19 23:09,en,Going over my statistics assignment,215,15,828,23,neutral,male,going over my statistics assignment,"['going', 'over', 'my', 'statistics', 'assignment']","['go', 'over', 'my', 'statist', 'assign']",go over my statist assign
2000033,2024/2/14 8:41,en,Reviewing geometry notes,117,18,423,15,neutral,female,reviewing geometry notes,"['reviewing', 'geometry', 'notes']","['review', 'geometri', 'note']",review geometri note
2000034,2024/10/20 0:19,en,Proud of my progress in math class,485,27,916,2,positive,female,proud of my progress in math class,"['proud', 'of', 'my', 'progress', 'in', 'math', 'class']","['proud', 'of', 'my', 'progress', 'in', 'math', 'class']",proud of my progress in math class
2000035,2023/7/11 1:47,en,Feeling stressed before my algebra exam,456,74,996,18,negative,male,feeling stressed before my algebra exam,"['feeling', 'stressed', 'before', 'my', 'algebra', 'exam']","['feel', 'stress', 'befor', 'my', 'algebra', 'exam']",feel stress befor my algebra exam
2000036,2023/2/11 19:44,en,I can't handle these equations anymore,463,42,66,1,negative,other,i can't handle these equations anymore,"['i', ""can't"", 'handle', 'these', 'equations', 'anymore']","['i', ""can't"", 'handl', 'these', 'equat', 'anymor']",i can't handl these equat anymor
2000037,2024/8/1 13:32,en,Math puzzles are the best brain exercise,303,32,833,16,positive,female,math puzzles are the best brain exercise,"['math', 'puzzles', 'are', 'the', 'best', 'brain', 'exercise']","['math', 'puzzl', 'are', 'the', 'best', 'brain', 'exercis']",math puzzl are the best brain exercis
2000038,2021/1/30 9:21,en,"Failed my math test again, so frustrated",405,11,855,26,negative,male,"failed my math test again, so frustrated","['failed', 'my', 'math', 'test', 'again', 'so', 'frustrated']","['fail', 'my', 'math', 'test', 'again', 'so', 'frustrat']",fail my math test again so frustrat
2000039,2023/8/28 11:34,en,Proud of my progress in math class,1,55,866,22,positive,male,proud of my progress in math class,"['proud', 'of', 'my', 'progress', 'in', 'math', 'class']","['proud', 'of', 'my', 'progress', 'in', 'math', 'class']",proud of my progress in math class
2000040,2021/12/13 2:32,en,Reviewing geometry notes,295,90,50,39,neutral,other,reviewing geometry notes,"['reviewing', 'geometry', 'notes']","['review', 'geometri', 'note']",review geometri note
2000041,2022/3/21 11:09,en,Working on some algebra problems,497,88,429,38,neutral,male,working on some algebra problems,"['working', 'on', 'some', 'algebra', 'problems']","['work', 'on', 'some', 'algebra', 'problem']",work on some algebra problem
2000042,2022/1/1 14:03,en,Math anxiety is ruining my grades,467,43,688,1,negative,other,math anxiety is ruining my grades,"['math', 'anxiety', 'is', 'ruining', 'my', 'grades']","['math', 'anxieti', 'is', 'ruin', 'my', 'grade']",math anxieti is ruin my grade
2000043,2024/11/23 5:39,en,I can't handle these equations anymore,218,52,459,5,negative,other,i can't handle these equations anymore,"['i', ""can't"", 'handle', 'these', 'equations', 'anymore']","['i', ""can't"", 'handl', 'these', 'equat', 'anymor']",i can't handl these equat anymor
2000044,2021/3/20 23:40,en,Math club meets today,379,51,441,21,neutral,female,math club meets today,"['math', 'club', 'meets', 'today']","['math', 'club', 'meet', 'today']",math club meet today
2000045,2021/4/14 11:58,en,I can't handle these equations anymore,81,40,927,14,negative,female,i can't handle these equations anymore,"['i', ""can't"", 'handle', 'these', 'equations', 'anymore']","['i', ""can't"", 'handl', 'these', 'equat', 'anymor']",i can't handl these equat anymor
2000046,2021/2/14 5:35,en,This math homework is giving me a headache,351,97,287,21,negative,male,this math homework is giving me a headache,"['this', 'math', 'homework', 'is', 'giving', 'me', 'a', 'headache']","['thi', 'math', 'homework', 'is', 'give', 'me', 'a', 'headach']",thi math homework is give me a headach
2000047,2023/12/21 3:47,en,Math class is scheduled at 2pm,425,71,844,6,neutral,female,math class is scheduled at 2pm,"['math', 'class', 'is', 'scheduled', 'at', '2', 'pm']","['math', 'class', 'is', 'schedul', 'at', '2', 'pm']",math class is schedul at 2 pm
2000048,2023/10/25 17:44,en,Practicing some math exercises,396,34,126,15,neutral,female,practicing some math exercises,"['practicing', 'some', 'math', 'exercises']","['practic', 'some', 'math', 'exercis']",practic some math exercis
2000049,2024/11/15 3:27,en,Reviewing geometry notes,420,27,261,19,neutral,female,reviewing geometry notes,"['reviewing', 'geometry', 'notes']","['review', 'geometri', 'note']",review geometri note
2000050,2021/7/6 16:21,en,I can't handle these equations anymore,140,40,842,48,negative,other,i can't handle these equations anymore,"['i', ""can't"", 'handle', 'these', 'equations', 'anymore']","['i', ""can't"", 'handl', 'these', 'equat', 'anymor']",i can't handl these equat anymor
2000051,2021/1/17 19:55,en,Scored 100% on my algebra test!,83,35,226,34,positive,male,scored 100 on my algebra test!,"['scored', '100', 'on', 'my', 'algebra', 'test']","['score', '100', 'on', 'my', 'algebra', 'test']",score 100 on my algebra test
2000052,2021/9/30 2:43,en,Had a great study session with friends for math,193,20,386,39,positive,female,had a great study session with friends for math,"['had', 'a', 'great', 'study', 'session', 'with', 'friends', 'for', 'math']","['had', 'a', 'great', 'studi', 'session', 'with', 'friend', 'for', 'math']",had a great studi session with friend for math
2000053,2023/7/24 0:16,en,Panic sets in every time I open my math textbook,323,78,617,49,negative,male,panic sets in every time i open my math textbook,"['panic', 'sets', 'in', 'every', 'time', 'i', 'open', 'my', 'math', 'textbook']","['panic', 'set', 'in', 'everi', 'time', 'i', 'open', 'my', 'math', 'textbook']",panic set in everi time i open my math textbook
2000054,2024/12/7 22:18,en,"Failed my math test again, so frustrated",417,88,711,16,negative,male,"failed my math test again, so frustrated","['failed', 'my', 'math', 'test', 'again', 'so', 'frustrated']","['fail', 'my', 'math', 'test', 'again', 'so', 'frustrat']",fail my math test again so frustrat
2000055,2024/12/30 14:36,en,Scored 100% on my algebra test!,54,96,472,0,positive,female,scored 100 on my algebra test!,"['scored', '100', 'on', 'my', 'algebra', 'test']","['score', '100', 'on', 'my', 'algebra', 'test']",score 100 on my algebra test
2000056,2024/10/7 8:12,en,Proud of my progress in math class,347,61,931,4,positive,male,proud of my progress in math class,"['proud', 'of', 'my', 'progress', 'in', 'math', 'class']","['proud', 'of', 'my', 'progress', 'in', 'math', 'class']",proud of my progress in math class
2000057,2022/6/10 19:43,en,"Failed my math test again, so frustrated",27,46,961,50,negative,female,"failed my math test again, so frustrated","['failed', 'my', 'math', 'test', 'again', 'so', 'frustrated']","['fail', 'my', 'math', 'test', 'again', 'so', 'frustrat']",fail my math test again so frustrat
2000058,2024/9/25 12:23,en,Statistics can actually be fun,399,19,191,21,positive,other,statistics can actually be fun,"['statistics', 'can', 'actually', 'be', 'fun']","['statist', 'can', 'actual', 'be', 'fun']",statist can actual be fun
2000059,2023/10/13 21:10,en,Math puzzles are the best brain exercise,154,95,219,50,positive,other,math puzzles are the best brain exercise,"['math', 'puzzles', 'are', 'the', 'best', 'brain', 'exercise']","['math', 'puzzl', 'are', 'the', 'best', 'brain', 'exercis']",math puzzl are the best brain exercis
2000060,2022/8/30 1:33,en,Studying math for tomorrow's class,172,12,228,48,neutral,male,studying math for tomorrow's class,"['studying', 'math', 'for', ""tomorrow's"", 'class']","['studi', 'math', 'for', ""tomorrow'"", 'class']",studi math for tomorrow' class
2000061,2021/10/9 8:39,en,Practicing some math exercises,441,92,959,37,neutral,female,practicing some math exercises,"['practicing', 'some', 'math', 'exercises']","['practic', 'some', 'math', 'exercis']",practic some math exercis
2000062,2023/3/28 6:03,en,"Failed my math test again, so frustrated",16,3,321,38,negative,other,"failed my math test again, so frustrated","['failed', 'my', 'math', 'test', 'again', 'so', 'frustrated']","['fail', 'my', 'math', 'test', 'again', 'so', 'frustrat']",fail my math test again so frustrat
2000063,2024/11/26 8:33,en,I can't handle these equations anymore,127,29,395,17,negative,male,i can't handle these equations anymore,"['i', ""can't"", 'handle', 'these', 'equations', 'anymore']","['i', ""can't"", 'handl', 'these', 'equat', 'anymor']",i can't handl these equat anymor
2000064,2022/1/23 13:16,en,Practicing some math exercises,42,84,664,38,neutral,other,practicing some math exercises,"['practicing', 'some', 'math', 'exercises']","['practic', 'some', 'math', 'exercis']",practic some math exercis
2000065,2022/4/3 3:33,en,Math anxiety is ruining my grades,399,93,568,34,negative,other,math anxiety is ruining my grades,"['math', 'anxiety', 'is', 'ruining', 'my', 'grades']","['math', 'anxieti', 'is', 'ruin', 'my', 'grade']",math anxieti is ruin my grade
2000066,2024/4/5 5:07,en,"Failed my math test again, so frustrated",449,23,988,20,negative,male,"failed my math test again, so frustrated","['failed', 'my', 'math', 'test', 'again', 'so', 'frustrated']","['fail', 'my', 'math', 'test', 'again', 'so', 'frustrat']",fail my math test again so frustrat
2000067,2024/12/24 2:29,en,Completely lost in statistics class,96,42,328,45,negative,female,completely lost in statistics class,"['completely', 'lost', 'in', 'statistics', 'class']","['complet', 'lost', 'in', 'statist', 'class']",complet lost in statist class
2000068,2021/9/2 2:01,en,"Failed my math test again, so frustrated",224,13,247,4,negative,other,"failed my math test again, so frustrated","['failed', 'my', 'math', 'test', 'again', 'so', 'frustrated']","['fail', 'my', 'math', 'test', 'again', 'so', 'frustrat']",fail my math test again so frustrat
2000069,2024/3/18 14:35,en,Why is trigonometry so hard?,267,28,837,9,negative,male,why is trigonometry so hard?,"['why', 'is', 'trigonometry', 'so', 'hard']","['whi', 'is', 'trigonometri', 'so', 'hard']",whi is trigonometri so hard
2000070,2021/11/28 2:38,en,Completely lost in statistics class,417,57,328,11,negative,female,completely lost in statistics class,"['completely', 'lost', 'in', 'statistics', 'class']","['complet', 'lost', 'in', 'statist', 'class']",complet lost in statist class
2000071,2024/9/18 10:58,en,Solved 5 problems in my math workbook,54,41,457,17,neutral,male,solved 5 problems in my math workbook,"['solved', '5', 'problems', 'in', 'my', 'math', 'workbook']","['solv', '5', 'problem', 'in', 'my', 'math', 'workbook']",solv 5 problem in my math workbook
2000072,2021/5/19 23:51,en,Reviewing geometry notes,467,72,195,25,neutral,other,reviewing geometry notes,"['reviewing', 'geometry', 'notes']","['review', 'geometri', 'note']",review geometri note
2000073,2021/5/30 14:40,en,Why is trigonometry so hard?,371,43,497,48,negative,female,why is trigonometry so hard?,"['why', 'is', 'trigonometry', 'so', 'hard']","['whi', 'is', 'trigonometri', 'so', 'hard']",whi is trigonometri so hard
2000074,2022/11/18 23:11,en,"Failed my math test again, so frustrated",141,44,589,44,negative,other,"failed my math test again, so frustrated","['failed', 'my', 'math', 'test', 'again', 'so', 'frustrated']","['fail', 'my', 'math', 'test', 'again', 'so', 'frustrat']",fail my math test again so frustrat
2000075,2023/3/31 11:40,en,This math homework is giving me a headache,213,86,646,5,negative,other,this math homework is giving me a headache,"['this', 'math', 'homework', 'is', 'giving', 'me', 'a', 'headache']","['thi', 'math', 'homework', 'is', 'give', 'me', 'a', 'headach']",thi math homework is give me a headach
2000076,2023/3/25 14:12,en,Scored 100% on my algebra test!,19,22,631,25,positive,female,scored 100 on my algebra test!,"['scored', '100', 'on', 'my', 'algebra', 'test']","['score', '100', 'on', 'my', 'algebra', 'test']",score 100 on my algebra test
2000077,2021/7/13 18:05,en,Attending a calculus lecture this afternoon,13,21,635,20,neutral,female,attending a calculus lecture this afternoon,"['attending', 'a', 'calculus', 'lecture', 'this', 'afternoon']","['attend', 'a', 'calculu', 'lectur', 'thi', 'afternoon']",attend a calculu lectur thi afternoon
2000078,2024/5/16 5:52,en,My brain freezes when I see math problems,280,28,440,11,negative,female,my brain freezes when i see math problems,"['my', 'brain', 'freezes', 'when', 'i', 'see', 'math', 'problems']","['my', 'brain', 'freez', 'when', 'i', 'see', 'math', 'problem']",my brain freez when i see math problem
2000079,2021/10/4 17:32,en,"Failed my math test again, so frustrated",174,90,301,23,negative,other,"failed my math test again, so frustrated","['failed', 'my', 'math', 'test', 'again', 'so', 'frustrated']","['fail', 'my', 'math', 'test', 'again', 'so', 'frustrat']",fail my math test again so frustrat
2000080,2023/5/30 5:03,en,"Failed my math test again, so frustrated",484,15,12,48,negative,female,"failed my math test again, so frustrated","['failed', 'my', 'math', 'test', 'again', 'so', 'frustrated']","['fail', 'my', 'math', 'test', 'again', 'so', 'frustrat']",fail my math test again so frustrat
2000081,2021/5/5 3:15,en,This math homework is giving me a headache,493,55,917,24,negative,other,this math homework is giving me a headache,"['this', 'math', 'homework', 'is', 'giving', 'me', 'a', 'headache']","['thi', 'math', 'homework', 'is', 'give', 'me', 'a', 'headach']",thi math homework is give me a headach
2000082,2022/12/24 20:03,en,Math anxiety is ruining my grades,390,61,15,5,negative,female,math anxiety is ruining my grades,"['math', 'anxiety', 'is', 'ruining', 'my', 'grades']","['math', 'anxieti', 'is', 'ruin', 'my', 'grade']",math anxieti is ruin my grade
2000083,2024/7/7 3:54,en,Feeling confident for my math exam,450,7,988,43,positive,other,feeling confident for my math exam,"['feeling', 'confident', 'for', 'my', 'math', 'exam']","['feel', 'confid', 'for', 'my', 'math', 'exam']",feel confid for my math exam
2000084,2024/10/10 11:07,en,Proud of my progress in math class,79,38,163,27,positive,male,proud of my progress in math class,"['proud', 'of', 'my', 'progress', 'in', 'math', 'class']","['proud', 'of', 'my', 'progress', 'in', 'math', 'class']",proud of my progress in math class
2000085,2021/2/27 16:13,en,"Failed my math test again, so frustrated",176,26,250,46,negative,male,"failed my math test again, so frustrated","['failed', 'my', 'math', 'test', 'again', 'so', 'frustrated']","['fail', 'my', 'math', 'test', 'again', 'so', 'frustrat']",fail my math test again so frustrat
2000086,2023/4/17 17:29,en,Going over my statistics assignment,154,66,650,6,neutral,other,going over my statistics assignment,"['going', 'over', 'my', 'statistics', 'assignment']","['go', 'over', 'my', 'statist', 'assign']",go over my statist assign
2000087,2023/1/31 9:28,en,Math anxiety is ruining my grades,44,15,807,45,negative,male,math anxiety is ruining my grades,"['math', 'anxiety', 'is', 'ruining', 'my', 'grades']","['math', 'anxieti', 'is', 'ruin', 'my', 'grade']",math anxieti is ruin my grade
2000088,2024/10/4 14:42,en,Attending a calculus lecture this afternoon,120,78,353,13,neutral,other,attending a calculus lecture this afternoon,"['attending', 'a', 'calculus', 'lecture', 'this', 'afternoon']","['attend', 'a', 'calculu', 'lectur', 'thi', 'afternoon']",attend a calculu lectur thi afternoon
2000089,2021/10/13 17:37,en,Going over my statistics assignment,14,85,427,20,neutral,female,going over my statistics assignment,"['going', 'over', 'my', 'statistics', 'assignment']","['go', 'over', 'my', 'statist', 'assign']",go over my statist assign
2000090,2024/12/28 17:22,en,Studying math for tomorrow's class,193,85,176,21,neutral,male,studying math for tomorrow's class,"['studying', 'math', 'for', ""tomorrow's"", 'class']","['studi', 'math', 'for', ""tomorrow'"", 'class']",studi math for tomorrow' class
2000091,2022/12/22 22:32,en,Proud of my progress in math class,244,87,710,22,positive,other,proud of my progress in math class,"['proud', 'of', 'my', 'progress', 'in', 'math', 'class']","['proud', 'of', 'my', 'progress', 'in', 'math', 'class']",proud of my progress in math class
2000092,2022/9/7 1:52,en,Math is challenging but I love it,113,42,5,8,positive,female,math is challenging but i love it,"['math', 'is', 'challenging', 'but', 'i', 'love', 'it']","['math', 'is', 'challeng', 'but', 'i', 'love', 'it']",math is challeng but i love it
2000093,2023/5/22 8:12,en,Enjoying solving complex equations,424,2,917,42,positive,female,enjoying solving complex equations,"['enjoying', 'solving', 'complex', 'equations']","['enjoy', 'solv', 'complex', 'equat']",enjoy solv complex equat
2000094,2021/8/20 4:59,en,Solved 5 problems in my math workbook,363,27,63,22,neutral,female,solved 5 problems in my math workbook,"['solved', '5', 'problems', 'in', 'my', 'math', 'workbook']","['solv', '5', 'problem', 'in', 'my', 'math', 'workbook']",solv 5 problem in my math workbook
2000095,2022/1/24 13:39,en,Math club meets today,314,40,188,31,neutral,male,math club meets today,"['math', 'club', 'meets', 'today']","['math', 'club', 'meet', 'today']",math club meet today
2000096,2021/9/28 17:46,en,Solved 5 problems in my math workbook,51,4,78,18,neutral,other,solved 5 problems in my math workbook,"['solved', '5', 'problems', 'in', 'my', 'math', 'workbook']","['solv', '5', 'problem', 'in', 'my', 'math', 'workbook']",solv 5 problem in my math workbook
2000097,2021/9/23 20:30,en,"Failed my math test again, so frustrated",427,26,111,15,negative,male,"failed my math test again, so frustrated","['failed', 'my', 'math', 'test', 'again', 'so', 'frustrated']","['fail', 'my', 'math', 'test', 'again', 'so', 'frustrat']",fail my math test again so frustrat
2000098,2023/3/25 13:10,en,Scored 100% on my algebra test!,102,27,641,34,positive,other,scored 100 on my algebra test!,"['scored', '100', 'on', 'my', 'algebra', 'test']","['score', '100', 'on', 'my', 'algebra', 'test']",score 100 on my algebra test
2000099,2021/5/13 1:48,en,Solved 5 problems in my math workbook,461,83,610,27,neutral,female,solved 5 problems in my math workbook,"['solved', '5', 'problems', 'in', 'my', 'math', 'workbook']","['solv', '5', 'problem', 'in', 'my', 'math', 'workbook']",solv 5 problem in my math workbook
2000100,2021/5/25 4:17,en,My brain freezes when I see math problems,258,96,53,26,negative,male,my brain freezes when i see math problems,"['my', 'brain', 'freezes', 'when', 'i', 'see', 'math', 'problems']","['my', 'brain', 'freez', 'when', 'i', 'see', 'math', 'problem']",my brain freez when i see math problem
2000101,2024/8/3 1:07,en,Math class is scheduled at 2pm,470,62,260,27,neutral,other,math class is scheduled at 2pm,"['math', 'class', 'is', 'scheduled', 'at', '2', 'pm']","['math', 'class', 'is', 'schedul', 'at', '2', 'pm']",math class is schedul at 2 pm
2000102,2022/6/4 10:00,en,Why is trigonometry so hard?,30,32,641,40,negative,male,why is trigonometry so hard?,"['why', 'is', 'trigonometry', 'so', 'hard']","['whi', 'is', 'trigonometri', 'so', 'hard']",whi is trigonometri so hard
2000103,2022/11/5 16:56,en,Finally understood calculus and feeling great!,166,15,564,2,positive,female,finally understood calculus and feeling great!,"['finally', 'understood', 'calculus', 'and', 'feeling', 'great']","['final', 'understood', 'calculu', 'and', 'feel', 'great']",final understood calculu and feel great
2000104,2022/9/18 15:09,en,Completely lost in statistics class,362,23,665,45,negative,female,completely lost in statistics class,"['completely', 'lost', 'in', 'statistics', 'class']","['complet', 'lost', 'in', 'statist', 'class']",complet lost in statist class
2000105,2022/7/21 0:47,en,Reviewing geometry notes,72,46,563,23,neutral,female,reviewing geometry notes,"['reviewing', 'geometry', 'notes']","['review', 'geometri', 'note']",review geometri note
2000106,2024/4/9 3:19,en,This math homework is giving me a headache,56,33,68,38,negative,male,this math homework is giving me a headache,"['this', 'math', 'homework', 'is', 'giving', 'me', 'a', 'headache']","['thi', 'math', 'homework', 'is', 'give', 'me', 'a', 'headach']",thi math homework is give me a headach
2000107,2024/11/28 15:35,en,Why is trigonometry so hard?,26,86,367,50,negative,male,why is trigonometry so hard?,"['why', 'is', 'trigonometry', 'so', 'hard']","['whi', 'is', 'trigonometri', 'so', 'hard']",whi is trigonometri so hard
2000108,2021/5/14 11:28,en,Working on some algebra problems,133,27,330,8,neutral,other,working on some algebra problems,"['working', 'on', 'some', 'algebra', 'problems']","['work', 'on', 'some', 'algebra', 'problem']",work on some algebra problem
2000109,2023/4/24 6:46,en,I can't handle these equations anymore,425,80,325,25,negative,female,i can't handle these equations anymore,"['i', ""can't"", 'handle', 'these', 'equations', 'anymore']","['i', ""can't"", 'handl', 'these', 'equat', 'anymor']",i can't handl these equat anymor
2000110,2023/12/31 19:28,en,Reviewing geometry notes,329,62,68,47,neutral,female,reviewing geometry notes,"['reviewing', 'geometry', 'notes']","['review', 'geometri', 'note']",review geometri note
2000111,2024/7/20 6:09,en,Working on some algebra problems,285,84,1,30,neutral,other,working on some algebra problems,"['working', 'on', 'some', 'algebra', 'problems']","['work', 'on', 'some', 'algebra', 'problem']",work on some algebra problem
2000112,2021/10/4 1:13,en,Going over my statistics assignment,413,46,4,21,neutral,female,going over my statistics assignment,"['going', 'over', 'my', 'statistics', 'assignment']","['go', 'over', 'my', 'statist', 'assign']",go over my statist assign
2000113,2022/5/29 18:30,en,Completely lost in statistics class,418,58,951,41,negative,female,completely lost in statistics class,"['completely', 'lost', 'in', 'statistics', 'class']","['complet', 'lost', 'in', 'statist', 'class']",complet lost in statist class
